バックアップパッケージ
パッケージ名
動作を停止しました
バックアップパッケージはPackageManagerから無効にしてください
バックアップ機能は動作中です
バックアップ機能は動作を停止しています
バックアップする間隔（分）
プレイモード開始時に__Backupscenesを退避する
バックアップ時にSaveAssetsを呼ぶ
指定ファイル数を超えたら古いファイルを消す
今すぐシーンをバックアップ
バックアップをクリーンアップ
パッケージの表示名、出力フォルダの名前に使用します
パッケージ名が未入力です
